,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__loss,param_model__quantile,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
51,21.60150990486145,2.6979527295589163,0.4740308284759521,0.08865419507258908,quantile,0.8688664525910059,"OrderedDict({'model__loss': 'quantile', 'model__quantile': 0.8688664525910059})",-2118.49361424316,-2161.4154676999783,-2153.3811215615183,-2128.81589092224,-2119.7784155395457,-2136.376901993289,17.711938784324424,41
52,20.650566959381102,2.070909889967073,0.46922078132629397,0.0831452184592224,quantile,0.9103026446066401,"OrderedDict({'model__loss': 'quantile', 'model__quantile': 0.9103026446066401})",-2440.4132363039025,-2551.4329070479084,-2501.344249952833,-2441.834624205134,-2442.6251920683408,-2475.5300419156238,44.4497888103108,57
53,21.93270049095154,2.667874473688533,0.49289793968200685,0.058654103378304366,quantile,0.7215516378279119,"OrderedDict({'model__loss': 'quantile', 'model__quantile': 0.7215516378279119})",-1553.722067761525,-1591.9680927518948,-1596.0720088912235,-1583.6849683704113,-1575.836265123695,-1580.2566805797499,14.984396498080196,8
54,22.089132452011107,3.4527280524727098,0.5004765033721924,0.06356177122229602,quantile,0.8725113264354929,"OrderedDict({'model__loss': 'quantile', 'model__quantile': 0.8725113264354929})",-2148.8556168151085,-2161.076444633802,-2184.154012104818,-2153.6423396825026,-2147.782165541765,-2159.1021157555992,13.37487684699054,44
55,21.879828262329102,2.7218265524764136,0.48598432540893555,0.05096126644204803,quantile,0.8691144763632008,"OrderedDict({'model__loss': 'quantile', 'model__quantile': 0.8691144763632008})",-2115.7238195555715,-2139.239767111699,-2147.7825825171026,-2138.2997554584203,-2130.458889115423,-2134.300962751643,10.788957153243297,40
56,22.1039840221405,2.098324109808051,0.5106537818908692,0.07349312778428442,quantile,0.859138600447292,"OrderedDict({'model__loss': 'quantile', 'model__quantile': 0.859138600447292})",-2080.404124855422,-2086.466593145748,-2101.085483043066,-2074.3747849546457,-2054.549855533163,-2079.3761683064085,15.257685320850856,36
57,22.482374095916747,2.5375505163844716,0.5158022403717041,0.05404235278094195,quantile,0.7502344830100531,"OrderedDict({'model__loss': 'quantile', 'model__quantile': 0.7502344830100531})",-1632.164736461076,-1673.0685246620808,-1662.4022079817826,-1636.3687909270916,-1636.7535875118372,-1648.1515695087735,16.421096471324393,18
58,18.90658631324768,4.523941658621399,0.4600349426269531,0.10653037827591871,quantile,0.940876066925601,"OrderedDict({'model__loss': 'quantile', 'model__quantile': 0.940876066925601})",-2872.173539326359,-2832.074509179905,-2895.314410266056,-2970.15153738542,-2915.690350255294,-2897.0808692826067,45.90197737760977,67
59,21.57409234046936,2.849863970309917,0.489409351348877,0.09432579965042683,quantile,0.827616999554003,"OrderedDict({'model__loss': 'quantile', 'model__quantile': 0.827616999554003})",-1925.0521232785813,-1930.2155379738974,-1933.8126745674579,-1911.4598360296839,-1896.05928680066,-1919.319891730056,13.888488450967813,33
60,17.040869903564452,3.340082804892816,0.4081636905670166,0.09754861458741469,quantile,0.9679225251975083,"OrderedDict({'model__loss': 'quantile', 'model__quantile': 0.9679225251975083})",-3483.9273978213005,-3688.0546598559836,-3598.990930315249,-3614.9295068031656,-3701.6219044672494,-3617.5048798525895,77.7756875484683,79
61,21.942880725860597,2.825319069721749,0.4960969924926758,0.0624782887733462,quantile,0.705214815499716,"OrderedDict({'model__loss': 'quantile', 'model__quantile': 0.705214815499716})",-1530.5666129779638,-1571.416568432581,-1569.3718854164604,-1544.2139403973397,-1541.8895163902778,-1551.4917047229246,16.122830982003588,3
62,19.017716550827025,2.9322836455363346,0.4531951904296875,0.09344137555212452,quantile,0.9647655640259585,"OrderedDict({'model__loss': 'quantile', 'model__quantile': 0.9647655640259585})",-3430.3223286442944,-3439.4127279280137,-3394.7399328292568,-3445.046319024413,-3416.528491931495,-3425.209960071495,18.028458131120928,77
63,21.908033704757692,2.7111385043367773,0.49643406867980955,0.056514946222854356,quantile,0.7597177227774969,"OrderedDict({'model__loss': 'quantile', 'model__quantile': 0.7597177227774969})",-1653.6532550273987,-1696.4595936894261,-1694.609292885886,-1665.502855585456,-1652.2511605025766,-1672.4952315381488,19.375542185950838,20
64,22.101226615905762,2.8595211817849546,0.5069521427154541,0.07801159197495425,quantile,0.9177517198650119,"OrderedDict({'model__loss': 'quantile', 'model__quantile': 0.9177517198650119})",-2521.3096226131897,-2530.6976756905215,-2554.5052968071436,-2519.0025864637573,-2525.113770050631,-2530.125790325049,12.816069707023257,59
65,21.932375288009645,2.808898685147459,0.5169833660125732,0.04210004267308676,quantile,0.7227286733355265,"OrderedDict({'model__loss': 'quantile', 'model__quantile': 0.7227286733355265})",-1575.6881589779177,-1604.1810790658988,-1597.4868839491826,-1582.9352090586062,-1574.1748686294086,-1586.8932399362027,11.950493643822465,10
66,21.773421335220338,2.9010534200442155,0.484693717956543,0.053876311131198736,quantile,0.7422316610050552,"OrderedDict({'model__loss': 'quantile', 'model__quantile': 0.7422316610050552})",-1615.1589540493578,-1645.1569767386798,-1657.74928371748,-1609.9939113797232,-1610.2419858808119,-1627.6602223532104,19.916140400356106,15
67,21.75305528640747,3.115700396500652,0.49666643142700195,0.07207131086242993,quantile,0.7530825004022266,"OrderedDict({'model__loss': 'quantile', 'model__quantile': 0.7530825004022266})",-1623.2453067957595,-1673.8329043925185,-1679.4365143579273,-1651.3991574153022,-1645.7492265134763,-1654.732621894997,20.289738709416326,19
68,22.50514974594116,2.6383160849297327,0.4925868034362793,0.058918761034017754,quantile,0.7440043617285793,"OrderedDict({'model__loss': 'quantile', 'model__quantile': 0.7440043617285793})",-1605.4081587086682,-1656.3293984820484,-1660.7668229361614,-1620.365250707433,-1613.5096489345633,-1631.275855953775,22.808832965444346,16
69,19.995595502853394,4.275198791071312,0.4655431270599365,0.11141198032505795,quantile,0.938575855050551,"OrderedDict({'model__loss': 'quantile', 'model__quantile': 0.938575855050551})",-2785.4326958626193,-2836.277338266193,-2828.156562803839,-2880.568958201111,-2859.7313495565986,-2838.033380938072,32.08596100477481,65
70,23.250727033615114,3.19186173385368,0.5048163414001465,0.08878278767787731,quantile,0.9023509055671189,"OrderedDict({'model__loss': 'quantile', 'model__quantile': 0.9023509055671189})",-2367.7598852676424,-2440.6399295758038,-2418.1674809242213,-2398.38167193741,-2373.487031941333,-2399.687199929282,27.298913819383625,53
71,22.07451410293579,3.3586154681421174,0.49625864028930666,0.059326717253383204,quantile,0.7286397660995793,"OrderedDict({'model__loss': 'quantile', 'model__quantile': 0.7286397660995793})",-1582.4664137429372,-1606.76180211281,-1618.954777973043,-1590.1699855172826,-1584.0767288304457,-1596.4859416353038,14.148278632901988,11
72,22.54672074317932,2.2409943160153434,0.514689826965332,0.05206982110745161,quantile,0.8231338254143072,"OrderedDict({'model__loss': 'quantile', 'model__quantile': 0.8231338254143072})",-1869.644053339594,-1905.1393587139096,-1897.444259461454,-1886.1668400547337,-1873.4740717902662,-1886.3737166719916,13.572262229440478,30
73,19.308181953430175,4.140579708990554,0.46937971115112304,0.10658996330809856,quantile,0.9508664937046929,"OrderedDict({'model__loss': 'quantile', 'model__quantile': 0.9508664937046929})",-3076.508460824354,-3082.158635584079,-3129.2162501977286,-3049.8448527592436,-3070.643872990029,-3081.6744144710874,26.160816254692136,70
74,18.519295024871827,1.2780325691851517,0.4628426551818848,0.03795263761292635,quantile,0.7804377305347703,"OrderedDict({'model__loss': 'quantile', 'model__quantile': 0.7804377305347703})",-1711.6957806495432,-1764.6435322524112,-1759.6249610020634,-1728.3532993368042,-1721.4995671558709,-1737.1634280793382,21.12464229140796,22
75,18.879737186431885,2.0075670753773,0.43711252212524415,0.068287332631758,quantile,0.9136165966804145,"OrderedDict({'model__loss': 'quantile', 'model__quantile': 0.9136165966804145})",-2490.3169031636266,-2520.9443591850522,-2526.7930187724924,-2482.212624362794,-2487.1167889210296,-2501.4767388809987,18.556715615158282,58
76,18.705402421951295,2.058425544847556,0.4919104099273682,0.03340819808662072,quantile,0.9063663067936907,"OrderedDict({'model__loss': 'quantile', 'model__quantile': 0.9063663067936907})",-2389.486145160459,-2457.7238296785195,-2447.13177087946,-2422.3110554590758,-2397.333225665454,-2422.797205368594,26.72196662124913,56
77,19.598523473739625,4.166380902407167,0.4470831871032715,0.1326468018860879,quantile,0.9368669667887828,"OrderedDict({'model__loss': 'quantile', 'model__quantile': 0.9368669667887828})",-2789.081780164418,-2801.6756383183483,-2782.1164156532177,-2900.7466093730854,-2813.436351335855,-2817.411358968985,43.02667918605813,64
78,20.749041891098024,1.8844258728148107,0.4906943321228027,0.031182442200254026,quantile,0.7703109381092559,"OrderedDict({'model__loss': 'quantile', 'model__quantile': 0.7703109381092559})",-1683.0790559948334,-1721.7198546605064,-1733.2967794174924,-1693.341020278763,-1685.033296519691,-1703.2940013742573,20.40018603250444,21
79,20.60011944770813,3.227023974295434,0.5054173946380616,0.07511718870285904,quantile,0.7171613262800891,"OrderedDict({'model__loss': 'quantile', 'model__quantile': 0.7171613262800891})",-1550.257679931554,-1589.3728215539086,-1594.9974546549954,-1569.6881726327274,-1563.3315129427288,-1573.5295283431828,16.56632886421381,7
